CreditScoreCategory,Industry,Region,ContractType,CollateralValue,LGD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,InterestCoverage,EquipmentAge,LeaseToValue,MaintenanceScore,OperatingMargin
Medium,Energy,East,Lease,49190.59,0.6786,-9.87,-53.62,1.89,4.48,3.4,0.66,87.6,0.1179
Low,Transportation,East,Lease,47837.55,0.6603,-10.5,24.66,1.28,1.82,3.8,0.87,57.1,0.0693
Medium,Transportation,North,Loan,49951.4,0.6655,-1.12,-30.97,1.88,2.14,4.8,0.79,47.6,0.092
Medium,Manufacturing,East,Loan,53344.7,0.6669,1.82,-45.55,2.15,3.16,5.5,0.77,60.8,0.075
Low,Mining,East,Lease,31899.04,0.7281,8.77,-6.32,1.56,2.73,3,0.75,73.4,0.0378
Medium,Energy,South,Lease,53953.91,0.6235,-37.9,72.88,1.86,3.68,7.6,0.77,70.1,0.0601
Medium,Manufacturing,South,Loan,46350.1,0.6701,3.46,-9.72,1.72,5.04,5.6,0.64,65.7,0.0194
Medium,Transportation,South,Loan,55355.76,0.6437,4.91,3.24,1.51,2.85,7.5,0.58,78,0.1102
Low,Mining,South,Loan,41334.87,0.6651,1.5,20.87,1.29,0.97,1,0.87,68.4,0.1484
High,Energy,South,Lease,40108.62,0.6818,-3.55,-25.82,1.32,0.1,6,0.64,48.9,0.0822
High,Construction,North,Loan,53460.71,0.6331,-68.4,9.5,0.84,1.06,5.8,0.68,77.5,0.1249
High,Mining,North,Lease,57159.06,0.6364,11.36,-24.53,2.02,1.01,4.9,0.57,60.2,0.0862
Medium,Energy,North,Loan,40940.99,0.6751,-19.46,16.85,2.44,4,4,0.76,72.2,0.143
Low,Manufacturing,South,Lease,69788.11,0.5948,12.27,12.16,0.8,2.93,2,0.59,64.4,0.0927
Medium,Construction,West,Loan,69685.24,0.5617,25,9.47,2.02,3.11,2.3,0.74,48.8,0.1735
Low,Energy,South,Lease,26265.11,0.7672,-33.52,5.24,1.48,4.08,7.6,0.67,75.2,0.0801
Low,Energy,South,Loan,38344.6,0.6499,11.67,60.45,1.18,5.04,5.8,0.72,60.1,0.183
Medium,Transportation,North,Loan,51743.11,0.6418,-24.71,7.13,1.57,2.71,4.6,0.87,56,0.0314
Medium,Mining,South,Lease,55561.57,0.6178,-0.85,15.96,1.1,4.11,4.5,0.59,63.4,0.1063
Medium,Transportation,North,Loan,81985.1,0.5586,-2.52,11.08,1.62,3.53,7,0.65,75.7,0.0715
Medium,Construction,South,Loan,52113.41,0.6662,15.13,-30.03,1.35,0.66,7,0.62,70.3,0.1237
Medium,Energy,East,Loan,48253.89,0.6619,12.16,-23.06,1.33,0.77,3.4,0.75,54.2,0.0384
Low,Transportation,West,Loan,32929.47,0.7489,5.24,-32.51,2.09,2.49,2.1,0.74,64.6,0.0509
High,Mining,West,Lease,26219.1,0.7039,-32.87,-23.48,0.63,3.3,5.7,0.68,77.1,0.0659
Medium,Construction,North,Lease,47994.92,0.6739,-50.3,-15.2,1.22,3.72,7.5,0.82,69.7,0.0606
Medium,Manufacturing,East,Loan,80860.78,0.534,18.25,-6.06,0.51,2.7,6.4,0.7,55.3,0.0856
Low,Transportation,West,Lease,46823.47,0.7183,14.93,-6.41,1.57,0.46,8.3,0.64,81,0.013
Medium,Construction,North,Lease,38409.03,0.6633,-19.95,17.29,1.25,2.45,4.7,0.83,91.6,0.1218
Medium,Manufacturing,South,Lease,56781.04,0.6092,6.95,40.52,1.14,0.24,5.6,0.68,62.3,0.134
Low,Transportation,South,Lease,19916.52,0.7673,-4.19,34.29,1.64,2.69,4.9,0.68,68.6,-0.0021
Low,Construction,East,Lease,51189.35,0.6592,21.73,8.35,1.81,3.84,6.5,0.69,77.4,0.1467
Medium,Construction,West,Loan,62365.67,0.6287,1.67,-24.92,2.09,3.64,3.6,0.72,66.5,0.0482
Medium,Transportation,South,Lease,35786.61,0.6886,18.01,31.48,2.97,2.25,5.4,0.82,78.2,0.0742
Low,Construction,North,Loan,70533.05,0.62,-12.27,-16.52,1.22,3.61,8.3,0.79,50.1,0.0986
High,Energy,South,Lease,59895.24,0.5708,5.7,13.03,1.16,1.32,3.5,0.76,69.6,0.0803
Low,Transportation,South,Loan,70668.82,0.6234,-8.25,8.44,1.5,2.04,1,0.6,83.6,0.0486
Medium,Construction,West,Loan,29355.31,0.75,-12.37,-31.84,1.54,0.51,6.1,0.7,53.2,0.0662
High,Manufacturing,West,Loan,47289.5,0.69,-46.6,-15.78,2.37,2.2,9.5,0.69,67.5,0.0938
Medium,Manufacturing,North,Lease,63831.9,0.5919,18.47,15.39,1.76,1.84,3.6,0.76,50.6,0.0823
Medium,Energy,East,Lease,27532.12,0.7031,34.99,-4.58,1.03,2.39,7.6,0.68,68.9,0.0718
Medium,Transportation,East,Loan,64206.08,0.5534,-27.76,87.37,1,2.59,5,0.84,82.2,0.0777
Low,Construction,South,Loan,47302.3,0.675,13.87,-13.36,1.84,3.37,3,0.76,65.2,0.1259
High,Construction,North,Lease,64094.43,0.5923,13.04,-30.24,1.4,0.1,6.4,0.76,81.6,0.0984
Medium,Manufacturing,East,Lease,53262.05,0.6711,-10.29,2.19,2.21,1.71,2.2,0.6,85.4,0.0223
High,Energy,East,Loan,71162.4,0.5776,-14.75,-9.67,1.76,4.47,8,0.63,43.5,0.1035
Low,Manufacturing,South,Lease,30621.35,0.7314,23.61,-51.46,0.98,4.49,5.2,0.65,59,0.1491
Low,Manufacturing,North,Lease,54936.05,0.6166,21.5,25.06,0.91,3.08,1.6,0.7,50.2,0.1101
Low,Energy,East,Lease,27326.52,0.7178,9.03,29.74,1.67,3.12,8.7,0.82,71.5,0.1711
Medium,Transportation,West,Lease,56293.07,0.6445,-10.4,25.61,1.33,1.31,6.7,0.62,85.8,0.017
Medium,Construction,West,Lease,54917.3,0.6497,21.79,9.61,2.07,2.44,5.6,0.54,74.5,0.0782
High,Transportation,South,Lease,45723.78,0.617,-16.73,-4.05,1.67,4.23,6.8,0.84,76,0.1954
Medium,Mining,South,Loan,38243.04,0.667,28.41,5.18,1.66,1.13,0.1,0.65,64,0.1249
High,Mining,South,Loan,45119.51,0.6071,32.64,-3.67,0.89,3.22,3.8,0.69,79.8,0.031
Low,Mining,South,Loan,51464.79,0.6604,23.63,-19.01,1.26,3.84,10,0.8,72.9,0.125
High,Energy,East,Loan,54262.8,0.5656,6.86,46.22,1.48,3.07,5.3,0.82,88.5,0.0889
Medium,Manufacturing,North,Loan,78984.74,0.5498,-50.95,37.95,0.56,2.78,3.7,0.61,72.6,0.1409
Medium,Transportation,South,Loan,63101.25,0.606,-3.7,19.81,1.81,2.76,5.3,0.73,47.9,0.0877
High,Construction,South,Lease,41196.55,0.6124,35.3,-12.8,1.93,3.75,2.8,0.84,51.6,0.1461
Medium,Mining,East,Lease,58690.63,0.6038,18.74,17.54,1.24,3.29,8.2,0.7,53.2,0.0917
Medium,Transportation,South,Loan,63219.79,0.6001,8.71,-7.15,2.13,3.74,4.1,0.81,61.5,0.1143
Low,Mining,South,Loan,40160.5,0.7147,-13.62,-8.33,2.11,2.45,1.8,0.72,92.7,0.1684
Low,Mining,North,Loan,60532.34,0.6307,20.49,-0.48,1.76,2.52,5.3,0.81,87.3,0.1094
High,Construction,West,Lease,27698.99,0.6848,-31.46,13.23,1.47,3.82,7,0.83,76.4,0.0414
Medium,Energy,South,Lease,39614.08,0.6924,-3.42,-12.02,2,1.66,6.4,0.87,81.8,0.051
Medium,Manufacturing,East,Lease,28636.54,0.6703,34.8,-4.17,0.75,1.31,2.2,0.75,80.5,0.1623
Medium,Energy,North,Lease,46834.14,0.6374,-16.09,39.52,1.54,6.41,3.1,0.66,85.6,-0.0095
Low,Transportation,East,Loan,42895.32,0.6955,12.18,-50.22,1.08,3.63,0.7,0.73,54.4,0.0625
Low,Energy,North,Loan,44045.66,0.6769,-35.14,30.51,1.17,2.63,6.4,0.73,89.2,0.2442
Medium,Transportation,North,Loan,62232.14,0.6316,-13.04,-3.95,1.72,1.96,5.9,0.7,71.4,0.0825
Medium,Transportation,South,Loan,51358.74,0.6397,3.59,-13.81,1.1,1.62,6.1,0.77,74.8,0.1162
Low,Manufacturing,South,Lease,62004.85,0.6218,7.07,-9.08,0.73,2.93,4.1,0.76,86.8,0.0612
Medium,Construction,South,Lease,74395.25,0.5603,41.35,0.34,2.61,2.86,1.2,0.73,74.2,0.1223
Low,Manufacturing,West,Loan,81419.99,0.5341,-10.08,27.85,1.2,3.66,3.4,0.92,57,0.1381
Medium,Energy,West,Lease,47902.94,0.6606,11.89,5.26,1.08,1.05,7.2,0.62,67.5,0.0822
Low,Transportation,East,Lease,58021.18,0.6727,11.33,-14.75,2.1,1.11,5.7,0.74,80.6,0.1045
Medium,Mining,South,Lease,47678.61,0.6378,-11.78,20.73,1.2,3.39,1.5,0.7,61,0.0431
Medium,Mining,West,Lease,65212.99,0.5967,19.12,-2.88,0.87,3.58,4.5,0.52,61.5,0.0735
Medium,Transportation,South,Loan,62295.35,0.5877,13.36,15.81,1.04,4.36,6.1,0.64,75.2,0.1003
Low,Manufacturing,West,Lease,40091.92,0.6915,-5.47,8.14,1.28,5.49,4.8,0.56,72.7,0.1977
Low,Construction,West,Loan,42299.44,0.6964,3.89,-31.86,0.96,2.6,2.2,0.78,60.4,0.0284
Medium,Manufacturing,North,Lease,70790.7,0.5785,-19.19,17.15,1.08,4.01,4,0.57,90.1,0.1263
Medium,Transportation,South,Lease,41762.45,0.7129,-17.71,-49.33,1.28,1.44,3.5,0.56,73.2,0.1484
Medium,Transportation,South,Loan,48323.07,0.6815,-0.43,-3.01,1.99,0.1,5.1,0.68,37.8,0.0844
Low,Construction,West,Loan,60125.61,0.6829,14.95,-30.29,2.54,1.53,5.6,0.67,76.2,0.1335
Medium,Energy,South,Lease,47516.37,0.6963,-6.67,-59.18,2.05,2.28,3.7,0.66,79.8,0.1534
High,Energy,West,Lease,73009.48,0.5351,-12.33,7.39,1.39,6.23,6.3,0.59,80.5,0.199
Medium,Construction,South,Loan,65496.59,0.5781,-4.61,25,0.79,0.51,8.3,0.79,63.6,0.1907
Low,Energy,North,Lease,36737.46,0.7378,16.57,-0.94,1.85,4.11,11.2,0.68,56,-0.0068
Medium,Mining,South,Lease,41217.4,0.6491,-27.04,38.54,0.99,2.11,3.1,0.8,70.6,0.0745
Low,Energy,North,Loan,58813.42,0.6416,17.23,0.02,1.32,3.75,5.1,0.6,72.9,0.1217
Low,Energy,East,Lease,49219.64,0.6829,10.24,5.32,2.31,3.06,1.4,0.64,81.4,0.1067
High,Energy,South,Lease,20891.61,0.7558,-27.13,-25.27,2.35,1.63,4,0.61,75.1,0.1395
Low,Mining,South,Lease,35436.76,0.7124,-4.71,17.46,1.59,4.54,7.6,0.7,86.6,0.114
Medium,Energy,South,Lease,53511.43,0.6237,12.72,16.12,2.11,3.67,0.5,0.63,87.3,0.1143
Medium,Mining,North,Lease,63358.23,0.6299,-38.21,-12.54,2.1,2.98,4.2,0.81,70.3,0.1069
Medium,Construction,South,Loan,63572.71,0.66,-20.71,-38.46,1.83,3.44,4.9,0.47,55.5,0.1196
Medium,Manufacturing,South,Lease,79442.55,0.5679,-30.46,-44.81,1.36,2.36,1.9,0.87,85.4,0.1295
Low,Construction,West,Loan,39628.08,0.7089,-11.56,30.23,1.22,0.1,5.8,0.67,78.7,0.1261
Medium,Manufacturing,East,Loan,40345.49,0.7036,20.75,-34.98,1.52,3.17,5.5,0.62,55.2,-0.0247
Medium,Construction,North,Lease,49620.08,0.5713,15.97,45.68,0.86,6.34,3.8,0.88,66.6,0.0413
Low,Manufacturing,West,Loan,24860.4,0.7613,-10.11,-23.52,1.26,4.27,6.3,0.69,54.8,0.1049
Medium,Manufacturing,North,Lease,49953.87,0.6408,20.58,-8.95,1.8,3.44,3.3,0.67,41,0.1286
Low,Transportation,West,Loan,47067.43,0.6329,13.27,84.95,1.19,3.58,5.9,0.64,55.4,0.1248
Low,Manufacturing,East,Loan,61875.77,0.6624,25.5,-14.13,2.27,3,5,0.67,37.9,0.011
Medium,Manufacturing,West,Loan,64422.81,0.6354,-1.77,-28.93,1.62,0.1,5.5,0.75,77.1,0.0588
Low,Transportation,North,Lease,55359.1,0.6676,10.78,-10.17,1.89,1.42,4.5,0.75,70.8,0.1146
Medium,Energy,South,Loan,50043.12,0.6354,67.44,-45.51,1.39,2.9,2.3,0.58,57.4,0.1338
Medium,Energy,South,Loan,55460.23,0.6395,-6.19,-8.47,1.82,4.39,2.2,0.58,80.9,0.1143
High,Transportation,East,Loan,38107.58,0.6122,-1.3,2.17,0.94,5.75,3.5,0.8,48.5,0.104
Low,Mining,North,Lease,48759.85,0.6791,-3.18,29.81,1.71,1.39,3.9,0.65,88.6,0.1189
Low,Manufacturing,North,Lease,50251.49,0.6675,-1.81,15.29,1.76,3.98,5.5,0.69,63.2,0.1344
Low,Manufacturing,North,Loan,48873.72,0.7069,11.16,4.37,2.14,0.1,4.9,0.71,76.5,0.0062
Medium,Transportation,East,Loan,47434.61,0.5895,1.16,64.5,0.5,2.5,4.1,0.85,54.3,0.0724
Medium,Transportation,South,Loan,40680.96,0.6466,-27.3,18,1.16,2.96,1,0.83,71.8,0.1235
Low,Mining,West,Loan,34615.96,0.6645,0.36,43.05,0.61,5.53,3.6,0.73,68.4,0.0874
High,Energy,East,Lease,46923.65,0.6157,-10.53,26.73,1.08,1.78,2.7,0.63,65.6,0.1029
Low,Construction,West,Lease,58915.24,0.6358,-34.57,41.89,1.45,2.48,8.5,0.93,63.1,0.0718
Medium,Energy,South,Lease,23938.93,0.6897,22.9,34.43,1.8,4.49,5.1,0.77,76,0.0757
Medium,Manufacturing,East,Loan,42540.78,0.6828,-10.64,25.03,2.62,1.9,8.1,0.84,56.7,0.109
High,Transportation,South,Lease,81036.44,0.5368,7.67,18.29,2.18,2.21,5.2,0.68,40.5,0.0404
Medium,Mining,West,Loan,47105.35,0.6898,-63.08,44.57,1.26,0.84,8.7,0.58,69,0.1108
High,Energy,North,Loan,52270.25,0.6153,9.98,-17.58,1.86,3.93,5.6,0.75,85.9,0.0647
Medium,Mining,North,Loan,77580.93,0.6119,-6.27,-22.02,2.11,0.85,5.7,0.7,44.7,0.007
High,Energy,West,Lease,54791.53,0.6211,-31.1,-47.89,1.45,4.58,8.9,0.87,71.2,0.1445
Low,Manufacturing,North,Loan,55134.03,0.6565,-11.04,15.73,1.47,1.13,3.6,0.69,70,0.1809
High,Construction,West,Lease,36347.8,0.6498,-13.73,34.86,1.39,1.86,3.7,0.66,78.1,0.1106
Medium,Mining,East,Loan,54692.35,0.6403,15.01,-31.19,1.74,1.24,5.2,0.83,71.4,0.1118
High,Mining,East,Lease,49778.04,0.6543,1.81,-21.73,1.71,2.58,10.8,0.66,59.6,0.0766
Medium,Construction,East,Loan,63873.7,0.5857,-30.45,43.23,1.57,4.61,4.2,0.67,45.8,0.1714
Medium,Mining,North,Lease,69159.84,0.6052,8.77,20.83,2.37,1.95,5.6,0.55,71.3,0.1815
Medium,Mining,South,Loan,50454.68,0.6654,-41.41,19.52,2,1.53,6.8,0.81,59.8,0.1108
Medium,Energy,North,Lease,55731.44,0.6214,-22.5,12.45,0.69,2.97,8.2,0.68,57.1,0.1648
Low,Energy,North,Loan,21651.88,0.7625,0.29,-6.36,0.6,2.9,6.8,0.58,71.4,0.1043
Low,Construction,South,Loan,16465.22,0.8017,-12.49,-46.64,1.71,4.02,8,0.82,53.7,0.0985
Low,Manufacturing,South,Loan,66397.88,0.6207,23.83,17.76,1.45,1.03,6.5,0.67,71.8,0.1068
Low,Mining,South,Lease,12576.55,0.7195,3.39,63.95,0.63,3.36,5.2,0.88,78,0.0815
High,Manufacturing,South,Loan,54910.04,0.5356,12.52,8.98,0.55,4.86,2.8,0.83,47.4,0.1901
Low,Construction,North,Loan,47395.17,0.7032,13.33,-34.31,1.38,1.48,4,0.58,84.5,0.1554
High,Construction,West,Loan,68470.29,0.5646,-8.86,-6.01,1.63,3.29,4.3,0.77,69.5,0.0564
Medium,Energy,East,Lease,49472.37,0.6436,-21.31,28.5,1.65,1.47,5.6,0.81,85.3,0.1165
Low,Mining,West,Loan,77033.8,0.5839,-1,32.07,1.2,4.64,6.1,0.53,65.2,0.1077
Medium,Transportation,North,Loan,46941.52,0.6135,17.34,46.73,1.22,5.54,8.8,0.67,97.7,0.1308
Medium,Construction,South,Lease,67195.23,0.58,-4.66,31.81,1.25,1.21,0.9,0.65,92,0.0939
Medium,Mining,East,Loan,27526.45,0.7331,11.82,-59.93,1.75,3.44,4.9,0.81,69.9,0.0611
Medium,Manufacturing,East,Lease,15469.44,0.7521,-0.54,6.88,0.74,3.54,8.8,0.61,67.6,0.0511
Medium,Energy,West,Loan,49576.82,0.6769,-31.06,-43.26,1.51,3.2,2.2,0.73,33.8,0.0804
Low,Manufacturing,North,Lease,28991.05,0.7307,-29.36,19.03,2.01,2.66,3.6,0.89,66.9,0.1264
High,Construction,North,Lease,49101.1,0.6124,31.25,21.97,1.32,2.14,5.9,0.5,74.1,0.1309
High,Construction,North,Lease,43802.07,0.6671,-23.35,-24.62,1.58,0.65,6.7,0.71,69.8,0.1833
Medium,Manufacturing,East,Loan,59077.15,0.6402,-12.75,-9.01,1.71,2.76,2.2,0.71,72.8,-0.0332
Low,Construction,West,Loan,34034.39,0.7353,18.35,-19.29,1.17,4.3,8.1,0.45,77.3,0.1843
Medium,Mining,East,Lease,56369.81,0.6475,-23.85,24.62,1.45,4.66,6.2,0.53,65.5,-0.005
Low,Construction,East,Loan,62959.24,0.6122,-13.67,-2.36,0.85,3.27,2.2,0.79,73.2,0.1298
Low,Energy,South,Loan,46914.42,0.7141,-4.23,-19.27,1.74,1.52,7.3,0.69,60.5,0.1185
Low,Mining,West,Lease,57173.47,0.6659,-6.85,23.56,1.58,1.08,7,0.72,51.8,0.0505
Medium,Transportation,South,Lease,35321.47,0.7067,-19.41,18.29,2.08,2.07,5,0.69,95,0.1122
High,Construction,North,Lease,44260.17,0.6347,-3.87,24.56,1.94,0.13,4.1,0.82,52.1,0.0697
Medium,Construction,East,Lease,29868.94,0.7129,13.58,-46.25,2.09,0.1,2.7,0.94,65.9,0.1646
Medium,Energy,West,Loan,85081.59,0.5657,-2.46,-17.42,2.11,0.98,4.2,0.81,81.2,0.0404
Medium,Energy,North,Loan,68431.91,0.6037,-13.17,20.39,1.14,3.47,7.1,0.47,66.1,0.1257
Medium,Manufacturing,West,Loan,74901.79,0.5912,18.92,-49.87,1.74,0.54,1.6,0.7,78.5,0.1433
Medium,Manufacturing,East,Loan,68216.58,0.5928,34.13,-49.04,1.84,3.49,3.3,0.84,86.1,0.0174
High,Manufacturing,West,Loan,40052.61,0.6586,19.1,-22.02,1.19,1.76,5.6,0.66,71.1,0.0445
Low,Energy,North,Loan,26982.18,0.7412,-22.47,23.2,2.12,4.8,6.4,0.84,76.9,0.0612
High,Manufacturing,South,Lease,43638.9,0.6641,-21.93,0.34,1.45,2.1,6.3,0.67,78.3,0.0189
Medium,Manufacturing,East,Loan,57129.6,0.6266,8.74,15.21,1.82,2.31,3.4,0.57,57.4,0.1482
Medium,Transportation,South,Loan,45646.21,0.6795,3.42,-29.51,2.05,1.87,4.8,0.77,49.1,0.1209
Medium,Manufacturing,East,Loan,16478.1,0.7729,-24.5,-29.82,1.71,1.91,4.1,0.75,100,0.1319
Medium,Construction,North,Lease,61206.12,0.6095,5.73,41.75,2.41,3.13,5.5,0.64,76.5,0.1389
High,Energy,East,Lease,26026.85,0.6917,1.98,12.74,2.71,3.43,6.2,0.83,57,0.1111
High,Mining,South,Loan,43664.9,0.6622,29.56,-32.25,1.51,2.93,4.7,0.51,100,0.0189
Medium,Transportation,East,Lease,76156.77,0.6131,-8.71,-59.34,1.98,1.09,5.2,0.81,47.7,0.0819
Low,Energy,North,Lease,50736,0.7025,27.73,-42.23,2.68,3.61,5,0.65,56.9,0.15
Medium,Energy,East,Loan,66149.89,0.5784,28.61,-31.7,1.19,1.19,1.9,0.88,63,0.0837
High,Construction,South,Loan,55202.3,0.604,-13.46,-38.1,0.11,1.37,7.6,0.78,84.7,0.106
Low,Manufacturing,North,Loan,34866.46,0.7362,7.08,-1.01,1.98,2.15,7.1,0.67,64.2,0.1489
Medium,Construction,South,Lease,60939.75,0.5905,-4.23,20.15,1.31,4.16,1.4,0.6,68.4,0.1582
Medium,Manufacturing,East,Lease,49051.62,0.667,-5.05,-2.7,0.9,1.29,9.2,0.54,51.6,0.194
Medium,Manufacturing,West,Loan,27712.54,0.7102,4.92,-13.65,1.14,3.55,5.8,0.69,67.5,0.1013
Low,Energy,South,Lease,25195.06,0.7561,-15.8,10.3,0.72,0.1,6.1,0.71,65.9,0.0828
Medium,Manufacturing,East,Lease,55749.04,0.6508,-31.91,-10.15,2.35,3.76,4,0.81,46,0.0972
High,Transportation,West,Lease,82120.18,0.5681,-10.64,-51.42,2.23,4.57,5.2,0.63,65.2,0.0731
Low,Transportation,West,Loan,33856.19,0.7025,23.62,6.08,1.39,3.91,6.1,0.74,56.5,0.097
Low,Transportation,North,Loan,35645.43,0.7295,-4.07,11.78,1.43,2.92,8.6,0.66,91.6,0.07
High,Energy,West,Loan,55966.95,0.5619,-0.46,36.11,1.6,1.96,2.8,0.85,74,0.1513
Low,Construction,South,Loan,30291.09,0.7474,15.85,27.64,2.34,1.59,7.2,0.69,92.1,0.0635
High,Mining,South,Loan,85310.73,0.5273,-31.94,-16.79,0.97,1.73,4.2,0.63,41.3,0.1872
Medium,Manufacturing,West,Lease,37014.94,0.7212,8.78,-6.51,1.42,2.1,7.8,0.58,54.5,-0.0507
Low,Mining,East,Lease,42515.87,0.6845,33.4,1.06,2.12,4.4,2.1,0.65,59.2,0.098
High,Construction,South,Lease,37931.88,0.6433,1.83,6.41,1.33,2.82,4.8,0.68,57.8,0.1461
Medium,Construction,South,Lease,64021.41,0.5836,-38.46,44.83,1.08,4.18,0.9,0.68,74.7,0.0458
Medium,Energy,North,Lease,82433.74,0.5264,-1.53,-1.99,1.58,7.56,3.7,0.74,65.7,0.0551
Medium,Transportation,East,Lease,39451.34,0.6477,12.2,-15.61,0.61,5.48,4,0.67,54.9,0.128
Medium,Transportation,West,Loan,62998.66,0.5976,2.24,37.26,1.69,2.98,5.9,0.62,100,0.1345
Low,Construction,East,Loan,30411.4,0.7161,5.45,36.53,1.37,2.16,1.9,0.66,72.9,0.0574
Medium,Energy,North,Lease,64389.11,0.5972,7.85,27,1.82,4.25,8.3,0.68,39.7,0.0947
High,Energy,North,Loan,76375.41,0.5647,-18.64,-48.1,1.15,4.25,8.7,0.64,80.9,0.1709
Low,Manufacturing,East,Lease,71785.35,0.6334,-16.15,2.42,1.73,3.81,5.3,0.54,100,0.1098
Medium,Transportation,North,Lease,51992.36,0.6523,-7.39,-7.03,1.61,5.21,2.4,0.55,80.9,0.0448
Medium,Construction,North,Loan,34507.8,0.6976,7.85,13.09,0.91,1.58,2.2,0.5,54.5,0.0252
Medium,Mining,North,Loan,50011.57,0.6564,-23.78,-26.13,1.03,3.43,5.2,0.72,63.3,0.1199
Low,Transportation,East,Lease,45336.66,0.6565,41.13,24.6,2.11,2.94,3.4,0.75,82.2,0.1453
High,Manufacturing,North,Loan,43299.63,0.6691,-48.47,10.73,1.98,4.02,7.6,0.62,55.9,0.1547
Medium,Energy,West,Lease,53098.25,0.6134,-34.13,26.26,0.63,2.31,4.3,0.75,67.7,0.1703
Low,Construction,West,Lease,49001.8,0.6828,11.07,-22.44,1.28,3.55,5.9,0.66,56.5,0.112
Low,Transportation,South,Lease,60617.66,0.6531,9.35,7.95,1.66,0.32,4.9,0.69,78.8,0.101
Low,Mining,West,Lease,60715.17,0.6469,-1.45,23.66,1.77,2.97,3.9,0.57,82.1,0.1158
Medium,Manufacturing,South,Lease,49058.02,0.6507,13.52,-76.48,1.64,5.57,3.5,0.82,89.9,0.1295
Medium,Manufacturing,East,Loan,56483.86,0.5996,11.35,20.01,1.69,2.22,2.7,0.86,85.2,0.0709
High,Transportation,North,Lease,69820.78,0.5524,0,-10.82,1.32,2.85,4.2,0.73,91.3,0.1125
Medium,Mining,West,Loan,42025.99,0.6737,5.36,-0.71,1.59,4.6,5.1,0.62,94.4,0.0514
Low,Manufacturing,South,Lease,50238.39,0.6933,-62.82,37.58,1.01,3.71,5.5,0.71,49,-0.0802
Medium,Construction,East,Loan,34574.67,0.696,-2.66,32.75,1.32,0.43,5.1,0.62,58.3,0.0861
Medium,Manufacturing,South,Lease,57197.96,0.623,-0.95,-17.37,0.46,2.79,4.6,0.57,56.3,0.1351
Low,Mining,North,Loan,52977.62,0.652,38.26,-50.63,0.97,3.57,1.2,0.77,72.5,0.0142
Low,Energy,West,Lease,56913.04,0.658,-16.51,-2.3,1.06,5.05,7.3,0.6,60.5,0.1369
Low,Energy,East,Lease,35167.11,0.686,-0.72,31.88,1.08,4.77,1.9,0.61,64.3,0.1283
Medium,Transportation,South,Loan,61483.49,0.6138,28.47,39.43,1.86,2.9,6,0.48,86.1,0.0605
Medium,Mining,East,Loan,51530.34,0.6335,11.2,-62.78,0.71,3.95,7.5,0.81,78.3,0.1868
Medium,Manufacturing,South,Loan,65442.47,0.5785,0.5,17.93,1.18,2.88,7.4,0.85,62.6,0.073
High,Manufacturing,South,Loan,43433.99,0.6334,19.25,13.86,1.82,2.25,6.6,0.77,81.8,0.0246
High,Energy,North,Loan,60236.16,0.5501,-15.85,23.16,0.84,4.64,5.1,0.78,74.3,0.1236
Medium,Energy,North,Loan,56675.47,0.6173,34.51,0.39,2.13,4.54,3.2,0.57,74.4,0.1507
High,Construction,South,Lease,72869.76,0.5547,12.85,-53.1,1.59,3.4,2.2,0.67,80,0.1809
Low,Energy,West,Lease,48255.35,0.7096,-32.52,-13.74,1.84,2.02,5.1,0.77,33.2,0.1032
Low,Construction,East,Lease,41676.85,0.7136,-12.1,-27.59,1.03,2.96,3.6,0.6,56.6,0.1472
Low,Manufacturing,East,Loan,42593.2,0.732,-43.15,-31.02,1.12,3.06,4,0.66,54.7,0.0737
Low,Construction,North,Loan,33375.2,0.7148,15.92,23.51,1.43,4.38,6.4,0.54,70.5,0.1295
Medium,Construction,West,Loan,42453.92,0.6693,11.27,-5.12,1.91,2.54,4.6,0.67,81.5,0.1865
High,Transportation,South,Lease,14891.11,0.7139,-9.21,11.81,1.89,3.04,3.5,0.68,62.3,0.2202
Low,Energy,North,Loan,70531.49,0.6025,24.01,31.69,1.7,3.28,11,0.75,56,0.069
Low,Construction,South,Lease,79010.72,0.6239,-1.67,-51.76,1.39,2.6,4.3,0.53,37.5,0.1733
Medium,Manufacturing,South,Loan,47786.22,0.6181,52.47,48.1,1.12,3.38,6.6,0.53,75.5,0.0531
High,Mining,North,Loan,56571.52,0.5858,-23.99,53.6,2.03,3.17,6.4,0.82,52.3,0.0694
Medium,Construction,West,Loan,52460.14,0.6508,12.83,-53.28,1.32,1.78,4.2,0.81,74.6,0.0786
Medium,Energy,East,Lease,30304.11,0.6863,-7.95,20.78,0.73,2.17,3.6,0.64,56.7,0.1453
Low,Transportation,North,Loan,65393.89,0.5836,-13.54,59.68,1.02,0.89,1.7,0.85,78.3,0.1057
Low,Manufacturing,West,Lease,67631.76,0.651,-3.46,-41.9,1.15,1.89,5.5,0.72,75.5,0.028
High,Transportation,South,Loan,34385.25,0.6496,7.34,-35.18,1.33,5.14,5.1,0.81,43.3,0.1244
High,Mining,North,Loan,54948.34,0.5726,1.17,24.41,1.46,3.99,2.6,0.67,83.1,0.1672
Low,Construction,East,Loan,46058.58,0.669,13.55,13.76,0.82,1.8,7.5,0.73,74.5,0.1072
High,Construction,East,Loan,67848.83,0.5515,12.14,6.55,1.26,2.71,6.2,0.67,86.2,0.1446
