Industry,Region,CompanySize,CompanyAge,ContractTermMonths,CommittedAmount,CreditUsageRate,EAD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,CurrentRatio,DownPaymentPct,UsageHoursPerWeek,EquipmentType
Construction,South,Small,7.1,60,49359.34,0.95,29488.44,6.02,-7.83,0.73,1.04,0.35,45.2,Crane
Mining,West,Medium,11.7,48,107213.88,0.91,84487.98,21.4,-26.4,0.76,1.39,0.11,55.2,Loader
Construction,East,Small,12.6,48,126407.9,0.78,50679.73,21.02,-20.79,2.02,1.1,0.47,36.3,Bulldozer
Energy,South,Small,7.1,60,97612.99,0.76,54988.9,6.43,34.76,1.77,2.06,0.24,46.5,Loader
Energy,North,Medium,10.8,36,157447.14,0.66,64682.45,2.55,25.72,1.19,2.14,0.36,31.2,Excavator
Manufacturing,North,Medium,16.2,24,67526.77,0.63,33282.96,-22.78,-17.37,1.08,2.48,0.17,39.8,Crane
Energy,East,Small,20.3,12,63749.44,0.76,35086.44,-9.45,19.84,0.14,1.68,0.23,34.9,Drill
Manufacturing,East,Small,14.3,12,80071.57,0.79,36138.69,-4.21,30.37,1.15,2.43,0.4,58,Bulldozer
Mining,West,Medium,19.3,36,78931.08,0.62,24205.12,-12.78,15.46,0.49,1.15,0.49,29.2,Excavator
Construction,West,Small,6.9,24,115788.58,0.96,53565.31,3.73,7.47,1.3,1.61,0.5,40.9,Loader
Construction,East,Large,13.5,36,87348.64,0.78,39028.95,28.67,27.46,1.91,0.97,0.42,53.7,Loader
Manufacturing,South,Small,16.7,24,53564.79,0.76,21772.9,22.77,19.24,0.61,1.79,0.44,20.6,Excavator
Construction,West,Small,5.5,60,126747.35,0.72,44997.45,3.66,-30.33,1.34,1.64,0.49,44.3,Bulldozer
Energy,East,Small,7.6,60,47201.44,0.53,21595.41,11.69,-4.72,1.8,0.5,0.12,41.1,Drill
Transportation,West,Medium,18.7,48,67863.45,0.94,51338.17,-10.93,-13.8,1.33,2.05,0.17,33.2,Bulldozer
Manufacturing,East,Small,5.1,48,51318.8,0.66,28709.26,21.96,28.81,0.89,1.93,0.12,52.2,Crane
Construction,North,Small,3.3,60,106213.64,0.82,59161.75,-23.43,-14.51,1.21,1.22,0.3,57.2,Bulldozer
Manufacturing,East,Large,17.6,48,105581.43,0.8,43260.99,13.69,-18.8,1.77,1.64,0.48,46.6,Crane
Manufacturing,North,Medium,16,60,157493.63,0.79,82036.21,7.43,25.67,1.36,0.75,0.33,37,Loader
Transportation,West,Small,12.2,36,127414.8,0.76,63095.29,-11.34,6.49,1.2,1.11,0.32,25.5,Crane
Energy,East,Medium,9.8,12,143249.39,0.59,46500.64,-3.13,52.79,1.89,2.33,0.43,41.8,Drill
Manufacturing,West,Large,7.8,60,108658.29,0.64,36347.54,-17.01,-21.56,1.51,0.92,0.47,38.5,Excavator
Construction,North,Small,11.4,60,70692.05,0.76,32084.68,-16.37,-12.97,0.48,1.5,0.38,39.1,Crane
Mining,East,Small,17.9,60,103843.23,0.89,48996.87,-23.87,28.05,1.58,0.8,0.46,35,Bulldozer
Manufacturing,West,Medium,11.2,48,117772.63,0.72,68021.42,11.51,-31.98,1.77,1.67,0.17,34.2,Crane
Manufacturing,North,Medium,20.8,48,121114.22,0.6,49511.25,18.08,32.99,0.46,1.78,0.3,40.3,Loader
Transportation,West,Medium,5.5,48,85827.64,0.54,33620.16,-32.43,-30.19,0.1,1.86,0.25,27.7,Crane
Energy,South,Small,9.9,48,114663.59,0.83,70550.8,27.57,15.26,0.57,1.73,0.23,50.4,Drill
Mining,North,Small,8.1,36,72009.16,0.71,39541.1,-0.18,-46.08,1.14,2.21,0.19,32.4,Crane
Construction,North,Medium,4.6,60,68701.67,0.56,20622.08,4.35,1.13,1.81,1.22,0.46,41.1,Drill
Mining,North,Small,9.2,36,66526.46,0.84,38213.11,-22.09,-34.24,0.67,0.97,0.28,36.8,Bulldozer
Construction,East,Medium,12.1,48,100738.78,0.6,41237.99,19.81,48.16,1.53,1.21,0.31,46.5,Loader
Energy,East,Medium,12.6,36,64664.91,0.75,37216.64,3,-26.79,0.1,0.83,0.21,46,Excavator
Construction,East,Small,20.9,60,87257.67,0.65,28416.03,17.08,-20.72,1.31,1.54,0.49,45.1,Bulldozer
Transportation,South,Large,12.3,60,127087.5,0.97,79372.14,18.31,13.39,0.96,1.43,0.34,28.3,Bulldozer
Transportation,South,Large,15.8,48,69126.11,0.61,37783.05,20.02,-15.02,2.46,1.74,0.1,38.1,Excavator
Transportation,North,Medium,10.3,60,84870.64,0.71,46853.88,-9.72,17.5,0.1,0.69,0.21,56,Crane
Transportation,South,Small,18.4,36,102148.94,0.98,47875.63,-3.12,-17.77,1.19,1.49,0.5,36.6,Crane
Mining,West,Small,22,24,107406.61,0.66,34111.94,-9.18,-19.7,0.1,2.11,0.49,50.5,Crane
Energy,North,Medium,12.7,60,85021.28,0.82,46478.03,13.43,-0.69,0.87,1.79,0.32,39.9,Loader
Construction,North,Small,5,36,123605.8,0.66,52466.83,4.99,-30.42,0.18,0.55,0.33,36.9,Bulldozer
Construction,West,Large,7.3,36,117713.57,0.56,34926.64,16.04,9.91,2.58,1.49,0.46,41.9,Drill
Transportation,North,Small,11.4,36,134195.7,0.81,64783.95,16.69,21.93,0.99,1.13,0.38,31.7,Excavator
Transportation,South,Medium,12.3,60,97551.94,0.96,48150.66,-25.91,13.82,1.07,1.51,0.47,49,Bulldozer
Manufacturing,East,Small,13.5,24,84615.44,0.73,41694.85,20.26,16.08,1.17,1.31,0.29,31.5,Crane
Energy,West,Medium,12.3,48,79521.04,0.81,31677.65,14.26,-48.12,0.52,2.37,0.49,45.5,Excavator
Mining,South,Small,10,48,109210.83,0.8,58166.95,-5.54,-11.54,1.83,1.54,0.32,50.8,Drill
Construction,West,Medium,6.8,60,88685.33,0.71,39461.68,5.25,-5.68,1.58,1.66,0.36,44.3,Bulldozer
Manufacturing,West,Small,12,60,82924.91,0.81,56464.46,-1.86,36.36,1.75,1.48,0.13,34.3,Bulldozer
Manufacturing,North,Large,19.3,12,86551.38,0.63,34471.07,9.24,-14.53,0.47,1.74,0.34,41.9,Loader
Construction,North,Small,15.1,24,79489.29,0.69,30909.22,-5.57,-57.54,1.88,1.39,0.41,32.7,Bulldozer
Mining,South,Large,12.7,36,105970.63,0.72,54131.39,7.18,-25.1,1.81,1.89,0.28,37.9,Bulldozer
Manufacturing,West,Large,15.1,36,57622.5,0.93,36670.13,1.01,-16.53,1.06,1.3,0.3,34.8,Drill
Manufacturing,North,Small,8.1,48,109090.49,0.67,52101.26,-6.48,-53.91,1.74,2.19,0.26,32.4,Drill
Energy,North,Medium,7.5,60,120296.46,0.82,49426.18,2.85,24.22,1.36,1.75,0.49,46.3,Excavator
Mining,West,Small,6.3,24,82573.63,0.61,33851.07,40.6,-39.24,0.24,1.42,0.29,49.8,Crane
Manufacturing,South,Large,9.4,48,157661.11,0.63,82410.09,-10.28,11.15,1.09,1.92,0.15,50.5,Drill
Mining,South,Medium,7.9,24,100528.64,0.82,70620.08,-3.75,-27.31,0.91,1.75,0.11,42.4,Excavator
Construction,West,Small,16,60,53159.71,0.88,26886.53,-10.02,37.67,1.25,1.91,0.41,54.7,Bulldozer
Transportation,South,Small,7.6,36,91562.71,0.73,43727.71,-8.45,-6.9,1.81,1.54,0.32,33.2,Excavator
Manufacturing,North,Small,6,12,101879.68,0.67,58036.03,12.24,-11.98,0.22,1.38,0.1,52.9,Excavator
Energy,West,Large,19.7,24,113469.03,0.96,79162.03,10.74,13.21,0.93,1.57,0.25,49.1,Excavator
Construction,North,Small,7.7,36,92277.08,0.57,26757.26,-0.09,-25.18,0.71,1.25,0.47,40.4,Excavator
Mining,East,Medium,10.8,24,69652.89,0.86,30050.17,15.39,14.39,0.73,1.99,0.48,42.2,Drill
Construction,East,Medium,12.3,24,67150.58,0.85,47858.95,11.9,-12.04,0.71,2.23,0.12,50.4,Crane
Manufacturing,South,Large,4.3,24,80392.02,0.85,56257.84,-2.44,-14.87,1.24,1.79,0.15,46.6,Excavator
Mining,East,Small,16.2,60,83266.74,0.97,69648.96,-23.01,-2.19,1.51,2.21,0.1,42.6,Loader
Transportation,North,Medium,13.2,48,65950.78,0.86,30482.79,12.45,-27.24,1.41,2.06,0.45,35.5,Bulldozer
Construction,East,Medium,17.8,24,78015.61,0.65,42671.46,2.54,-4.77,1.31,1.37,0.13,30.8,Bulldozer
Manufacturing,North,Medium,6.6,60,119783.76,0.68,67912.4,0.33,8.49,1.57,1.92,0.14,41.1,Bulldozer
Energy,South,Small,10.5,12,149452.38,0.7,80284.2,-6.99,-57.72,2.63,0.86,0.19,28.6,Bulldozer
Mining,South,Small,10.2,48,122663.85,0.52,32649.98,11.17,27.28,1.28,1.59,0.47,47.3,Bulldozer
Construction,North,Small,11.3,60,139175.83,0.96,80933.54,5.23,20.4,1.81,0.91,0.38,22.3,Excavator
Construction,East,Medium,2.7,12,129223.55,0.54,43536.28,-3.55,-46.36,1.78,1.45,0.35,43.1,Crane
Transportation,South,Small,10.6,48,124993.91,0.85,60201.92,-18.38,-50.26,2.27,0.78,0.41,37.2,Loader
Transportation,West,Medium,2.9,60,89866.11,0.87,47352.16,16.02,21.05,1.54,2.05,0.38,35.6,Drill
Energy,South,Small,11.8,12,104227.33,0.92,55008.61,9.07,19.11,0.69,1.3,0.4,37.2,Loader
Energy,East,Large,1,60,87381.42,0.78,57900.25,3.83,15.58,1.38,1.95,0.13,11.2,Drill
Manufacturing,West,Large,1,12,93426.79,0.86,51578.39,-39.85,-35.67,1.35,1.46,0.34,35.6,Drill
Manufacturing,East,Medium,14.1,24,102045.01,0.65,38865.52,-0.57,45.72,1.69,0.58,0.4,31.3,Loader
Energy,North,Small,7.3,24,121406.98,0.87,67770.42,-3.62,-18.88,0.68,1.26,0.33,31.4,Excavator
Energy,West,Small,5.1,48,112699.7,0.67,66215.27,-9.28,5.99,1.96,1.23,0.1,71.2,Bulldozer
Mining,East,Small,16.4,12,95145.12,0.95,70102.1,11.31,6.29,1.2,1.49,0.18,26.1,Excavator
Transportation,West,Small,11.6,24,101666.16,0.58,29205.74,10.72,39.82,1.7,2.25,0.49,44,Bulldozer
Manufacturing,East,Medium,14.4,48,113003.91,0.66,44469.39,6.55,3.13,1.39,2.34,0.38,32,Crane
Transportation,West,Medium,9.2,36,120021.83,0.75,54533.49,15.57,10.4,1.27,1.38,0.38,30.9,Drill
Transportation,East,Large,23.4,24,54430.15,0.89,29969.21,-15.33,-1.93,1.34,0.87,0.36,26.5,Loader
Energy,North,Small,7,24,67678.33,0.87,48187.6,-6.8,-29.91,1.6,1.13,0.15,51.3,Crane
Mining,West,Medium,18.7,60,133219.32,0.61,70998.69,1.12,-57.97,2.38,1.74,0.1,52,Bulldozer
Construction,West,Medium,9.7,36,98173.91,0.57,39046.98,-9.33,0.81,0.1,1.45,0.28,33.8,Excavator
Mining,West,Medium,1.7,12,87277.7,0.65,39794.35,10.91,-35.31,1.52,0.71,0.28,49.1,Loader
Mining,West,Small,12.4,48,92095.02,0.74,37832.43,-7.83,8.75,1.23,1.25,0.42,29.6,Drill
Transportation,North,Medium,11.6,36,92088.84,0.77,56607.49,19.48,3.72,1.09,2.16,0.17,36,Crane
Mining,West,Medium,4.7,12,116738.13,0.71,62880.49,-13.97,3.11,0.1,1.65,0.21,46.8,Drill
Manufacturing,South,Medium,5.4,24,66759.51,0.83,46546.26,31.98,-26.32,1.55,1.52,0.13,30,Bulldozer
Transportation,North,Large,9.9,48,100743.33,0.71,52568.43,30.44,25.91,1.13,1.31,0.26,32.6,Drill
Manufacturing,South,Small,11.7,48,107383.53,0.97,80253.38,-1.42,11.87,0.7,1.27,0.2,40.2,Excavator
Construction,West,Small,1,36,111888.04,0.63,53626.23,17.19,-29.54,1.23,1.77,0.21,40.4,Crane
Transportation,East,Medium,15.3,60,106685.92,0.81,67750.23,-6.01,51.71,1.02,1.57,0.2,29.2,Crane
Construction,South,Medium,7.5,12,115477.19,0.81,72033.83,15.2,-5.27,0.15,1.89,0.19,62.3,Excavator
Transportation,West,Small,3.3,36,82819.12,0.64,39006.68,-2.64,-33.36,1.25,1.77,0.23,31.6,Drill
Energy,South,Medium,14.7,60,71745.92,0.71,33934.62,-19.28,-18.96,1.55,1.51,0.31,49.5,Excavator
Mining,West,Large,9.9,60,173710.13,0.68,83941.39,-52.99,-37.72,0.87,1.69,0.28,46,Loader
Energy,West,Large,16.1,60,90962.06,0.59,46225.33,-4.03,33.99,1.36,1.2,0.13,31.9,Excavator
Construction,West,Small,12.2,48,94466.37,0.74,49285.65,4.19,27.01,1.26,1.48,0.27,44.6,Drill
Mining,East,Large,10,12,120335.2,0.69,45545.6,19.95,18.49,1.83,2.17,0.44,31.6,Excavator
Transportation,South,Medium,9.2,12,147882.68,0.59,72087.81,0.55,13.78,1.14,1.51,0.14,40.7,Bulldozer
Mining,North,Medium,12.4,36,83664.16,0.72,31026.01,15.04,31.21,1.68,1.39,0.48,48.2,Excavator
Manufacturing,North,Medium,7.9,24,70035.54,0.71,37145,-6.81,-6.05,1.01,1.61,0.22,34.4,Excavator
Mining,North,Large,5.7,36,62735.4,0.57,31471.27,-5.06,10.57,2.38,0.92,0.11,44.1,Drill
Manufacturing,North,Medium,13,12,147793.19,0.57,63896.39,15.81,-20.3,0.94,1.61,0.2,34.2,Loader
Mining,West,Small,9.3,48,68856.79,0.82,47066.23,-36.97,-3.84,0.79,2.35,0.13,41.8,Loader
Manufacturing,South,Medium,10.2,36,99173.32,0.85,55447.65,0.19,11.25,1.14,1.1,0.33,41.1,Drill
Construction,South,Medium,15.4,24,70681.46,0.97,50540.08,-6,-77.03,0.76,1.63,0.23,36.3,Drill
Energy,East,Small,9.4,36,56549.32,0.54,16866.86,20.41,-15.49,0.45,1.49,0.42,21.7,Drill
Transportation,South,Large,10.1,60,91228.74,0.56,30687.36,-7.92,4.12,1.64,1.48,0.39,47.8,Bulldozer
Mining,South,Medium,7,24,71866.4,0.53,25972.13,7.75,-1.94,0.1,1.47,0.29,59.9,Crane
Energy,South,Medium,12.2,60,79251.15,0.77,39914.51,13.82,-11.31,0.77,1.86,0.32,41.4,Excavator
Transportation,East,Small,11.7,48,160183.15,0.81,81887.35,-22.39,14.73,0.39,0.95,0.34,33.9,Drill
Transportation,North,Medium,14.5,12,112746.88,0.7,60008.3,-2.09,-17.69,1.29,1.84,0.21,42.1,Drill
Manufacturing,South,Small,7.1,36,127944.09,0.9,92395.46,-6.47,-30.55,0.1,1.53,0.16,51.5,Drill
Construction,East,Small,7.7,36,124739.79,0.84,76835.14,14.19,29.59,1.53,0.62,0.25,52.8,Loader
Construction,East,Medium,14,60,96974.17,0.99,81693.45,10.13,26.07,1.59,1.69,0.14,49.1,Drill
Energy,West,Medium,11.3,60,86808.45,0.57,37091.19,-3.5,-14.98,0.22,1.56,0.23,44.5,Excavator
Construction,East,Medium,5.5,12,107468.04,0.53,37249.23,-15.71,-1.72,1.31,1.06,0.32,46.8,Drill
Mining,North,Small,16.5,36,105053.52,0.64,44172.24,15.57,21.15,1.51,1.58,0.32,41.2,Excavator
Construction,South,Medium,1.5,12,82935.84,0.51,34790.86,-1.01,1.1,1.76,0.84,0.15,30.4,Bulldozer
Energy,East,Small,13.9,60,103895.43,0.97,86612.74,-24.28,13.26,0.32,1.16,0.1,36.2,Crane
Construction,North,Large,3.7,60,78810.11,0.65,43499.49,-22.99,11.89,0.23,1.52,0.14,36.8,Loader
Mining,East,Medium,19.4,24,94856.26,0.78,63689.82,6.56,-7.98,2.1,0.66,0.11,42.9,Excavator
Manufacturing,East,Medium,2.3,60,89941.5,0.66,42670.05,-19.14,12.9,0.71,0.92,0.26,22.4,Bulldozer
Energy,East,Small,15.8,60,61933.82,0.62,27853.81,27.89,-24.12,0.88,1,0.26,45.1,Crane
Manufacturing,East,Small,9.6,12,29465.25,0.58,12926.37,-14.06,9.86,1.58,1.54,0.2,19.9,Crane
Manufacturing,East,Large,8.2,24,71828.1,0.66,37447.44,-0.01,-1.85,0.5,1.72,0.19,44.1,Crane
Manufacturing,North,Small,10.9,24,154123.14,0.81,88558.55,2.39,-9.02,1.04,1.05,0.26,51.7,Excavator
Transportation,South,Medium,13.2,36,90709.55,0.99,75340.58,-10.94,-31.17,1.74,1.03,0.13,48.9,Bulldozer
Transportation,South,Medium,5.5,48,123279.04,0.78,75259.09,-33.6,3.29,0.35,1.57,0.19,31,Drill
Manufacturing,South,Small,5.9,36,36266.65,0.77,19662.38,2.86,0.96,0.9,1.56,0.26,46.2,Bulldozer
Energy,South,Large,13.2,36,69751.42,0.52,30378.72,-11.3,-20.99,0.52,1.15,0.14,47,Bulldozer
Mining,North,Medium,1.5,36,59365.31,0.92,29579.42,1.75,-39.92,0.74,2.41,0.44,57.1,Bulldozer
Mining,West,Small,7.1,24,93931,0.52,29519.4,-1.83,-41.11,1.91,1.59,0.37,43.7,Excavator
Construction,West,Small,25.2,12,172658.66,0.95,117868.44,3.95,-6.35,2.04,1.41,0.25,50.3,Excavator
Energy,North,Small,5.2,60,113807.17,0.77,71432.3,23.43,7.66,1.35,1.31,0.16,35.6,Excavator
Transportation,North,Large,15.7,24,150868.38,0.58,70700.68,-8.19,46.25,1.52,2,0.18,31.5,Bulldozer
Manufacturing,East,Medium,7.1,60,92366.9,0.73,55894.32,-7.03,-1.13,1.5,1.77,0.15,48.6,Excavator
Construction,East,Small,12.5,60,140946.08,1,113558.76,-24.99,-40.63,0.8,0.63,0.16,48.8,Crane
Mining,East,Small,13.3,48,162197.7,0.65,74581.98,-2.93,-5.17,1.34,1.15,0.27,33.6,Excavator
Transportation,South,Medium,15.6,36,96718.93,0.63,47581.75,6.15,31.28,0.42,1.28,0.2,27.9,Loader
Transportation,East,Medium,9,48,83822.06,0.56,24764.19,-7.25,-17.07,0.62,1.49,0.45,41.2,Excavator
Manufacturing,West,Medium,19.9,36,60465.67,0.8,24158.94,6.25,27.97,1.15,1.81,0.48,40.4,Excavator
Mining,South,Small,7.1,24,90728.19,0.54,29441.44,-2.66,4.39,0.56,0.96,0.38,42.3,Excavator
Energy,East,Small,11.2,60,102456.9,0.88,50317.58,-19.53,16.17,0.44,1.46,0.42,48.9,Excavator
Transportation,South,Medium,11.2,48,160928.61,0.96,119857.95,4.68,46.47,0.77,2.35,0.2,50.3,Loader
Manufacturing,West,Large,4.4,24,61150.78,0.97,36487.73,-3.09,-45.93,1.89,1.51,0.37,40.1,Drill
Energy,East,Small,8.6,24,101789.86,0.55,47613.96,1.84,22.41,2.13,1.15,0.12,30,Excavator
Mining,West,Medium,10.8,36,45570.76,0.78,17779.81,-8.5,-2.37,1.18,0.83,0.48,32.7,Crane
Transportation,West,Medium,7.8,60,87197.12,0.55,29502.85,-9.83,-23.73,1.55,1.26,0.37,34,Loader
Energy,West,Medium,22.2,36,109341.86,0.79,64492.99,2.36,-2.52,0.86,0.96,0.23,38.8,Drill
Energy,East,Small,5.8,36,115377.49,0.91,59167.21,-3.46,42.27,0.1,1.3,0.41,34.9,Excavator
Energy,North,Large,15.9,24,117670.69,0.77,78875.01,25.86,33.37,0.66,1.77,0.11,37.6,Drill
Transportation,East,Medium,14.3,36,111922.12,0.94,75720.36,11.98,-50.02,1.01,1.52,0.25,40.7,Crane
Transportation,West,Medium,9.9,12,117412.66,0.9,55041.33,8.18,-19.25,1.28,1.26,0.46,33.6,Loader
Construction,East,Small,5.7,60,101372.17,0.64,50171.51,-2.66,23.57,1.14,0.6,0.21,43.2,Loader
Mining,West,Small,6.2,36,68564.01,0.82,33840.16,-30.39,-0.54,1.03,1.92,0.37,58.3,Drill
Manufacturing,North,Small,7.4,36,44450.29,0.5,16191.8,-12.11,-0.45,0.86,1.32,0.24,38.3,Excavator
Energy,South,Medium,1.1,48,83599.37,0.7,41950.28,-9.71,-39.21,1.41,1.55,0.26,33.2,Bulldozer
Construction,North,Small,5,60,95961.54,0.62,34442.58,-4.12,-18.64,0.38,1.04,0.4,43.1,Loader
Manufacturing,North,Medium,2.6,60,137617.95,0.97,69719.84,-0.5,-33.96,1.68,1.3,0.46,32,Bulldozer
Construction,South,Small,16.7,36,96981.95,0.7,54262.31,9.84,-41.33,0.85,1.21,0.17,38.5,Loader
Transportation,East,Medium,13.1,12,94102.93,0.83,59498.57,4.1,-31.44,2.44,0.83,0.21,33.2,Excavator
Energy,South,Medium,13.9,48,111565.81,0.87,66184.45,17.39,-23.2,1.01,1.05,0.3,29.3,Excavator
Manufacturing,East,Small,12.9,12,91899.64,0.89,50390.31,-4.68,-19.03,0.91,1.49,0.35,31.2,Loader
Manufacturing,East,Small,10.8,36,124316.26,0.87,73285.18,3.86,-21.05,0.86,1.65,0.29,33.4,Drill
Manufacturing,West,Small,17.3,60,159380.01,0.64,57473.63,5.16,25.51,0.92,1.16,0.42,29.6,Excavator
Manufacturing,West,Medium,6.9,60,165723.57,0.84,81547.46,3.69,-22.68,1.56,0.9,0.41,52.8,Excavator
Manufacturing,South,Medium,10.5,12,102911.22,0.77,56979.85,19.23,35.65,1.17,1.32,0.26,44.3,Crane
Construction,North,Small,13.7,24,110106.77,0.8,74493.21,12.06,-12.1,1.79,1.89,0.12,49.4,Excavator
Energy,South,Medium,3.4,36,147365.68,0.5,58795.9,-19.79,10.98,1.48,1.03,0.18,26.4,Crane
Transportation,East,Small,25.5,60,95501.14,0.63,40996.04,-1.71,11.78,1.22,1.51,0.29,37.1,Excavator
Transportation,West,Small,10.1,24,120375.76,0.97,58860.26,-0.21,-22.45,1.42,1.17,0.47,44.2,Excavator
Transportation,South,Small,10.7,60,65945.2,0.65,27890.17,32.27,-8.2,1.92,2.06,0.33,56.5,Drill
Transportation,South,Large,16.3,60,90674.83,0.72,44289.26,-4.95,-12.57,1.59,1.25,0.31,32.5,Drill
Construction,West,Small,14.6,24,134683.44,0.59,46352.61,-14.74,9.31,1.37,1.83,0.39,27.1,Excavator
Mining,West,Small,10.2,12,78454.13,0.57,35608.58,6.57,-3.22,1.45,2.01,0.16,41.9,Loader
Energy,West,Small,10.7,36,96158.46,0.6,46299.66,7.45,-18.71,0.51,2.27,0.16,33.3,Loader
Manufacturing,East,Small,2.5,24,52773.71,0.78,30402.24,-1.11,2.98,2.74,0.82,0.24,57.1,Excavator
Mining,West,Medium,7.2,24,160173.05,0.96,75126.29,-3.3,8.49,1.52,0.8,0.5,45.4,Loader
Transportation,North,Small,12.6,60,137890.84,0.66,48793.12,14.23,46.25,1.58,2.08,0.45,37.1,Excavator
Mining,South,Small,12.2,24,105642.99,0.66,41699.36,-12.8,1.7,1.18,2,0.37,37.2,Drill
Energy,West,Medium,16.1,36,115225.39,0.78,64581.51,-5.11,0.25,0.1,1.19,0.26,38.7,Bulldozer
Manufacturing,West,Small,9.4,12,111876.94,0.68,49028.54,-7.83,10.71,1.04,0.5,0.32,21.8,Crane
Manufacturing,East,Medium,3.1,12,141529.35,0.96,101106.38,16.41,-23.74,1.25,1.54,0.22,40.4,Loader
Energy,East,Medium,15.3,12,84436,0.69,35130.44,4.28,-43.14,0.71,0.74,0.37,35.1,Loader
Energy,South,Small,17.2,36,121968.03,0.75,63790.86,-15.97,-7.8,0.7,1.09,0.27,46.3,Drill
Transportation,North,Medium,14.5,60,132322.49,0.77,84211.8,-14.47,26.8,1,1.59,0.15,31,Loader
Manufacturing,South,Small,9.2,36,136459.78,0.89,95855.2,28.1,30.84,1.66,1.66,0.19,46.8,Excavator
Mining,West,Medium,15.2,24,32218.87,0.78,15923.81,16.25,-46.98,1.95,2.29,0.34,45.4,Excavator
Construction,North,Medium,27.1,48,82021.77,0.62,30934.74,12.62,16.65,1.3,1.31,0.38,41.6,Bulldozer
Construction,North,Small,10.6,48,69424.88,0.56,32342.17,0.18,-54.62,0.86,1.01,0.14,52.5,Bulldozer
Energy,North,Medium,3.4,48,104487.65,0.97,56484.35,22.63,11.48,0.98,1.96,0.42,21.2,Bulldozer
Transportation,North,Large,7.1,12,39519.09,0.9,19706.5,-16.55,9.98,1.26,1.69,0.43,44.4,Excavator
Construction,South,Large,13.1,36,38631.31,0.51,11801.63,11.29,-43.1,1.33,1.32,0.39,39.6,Bulldozer
Manufacturing,East,Medium,2,36,165102.85,0.91,91607.55,-6.65,25,1.46,1.52,0.37,39.3,Bulldozer
Energy,East,Medium,10.8,12,118530.68,0.8,73237.04,-3.73,43.6,0.94,1.31,0.19,30.2,Excavator
Mining,West,Small,11.9,24,103630.28,0.76,39878.54,10.89,-1.56,1.52,1.85,0.47,25.8,Drill
Energy,East,Small,17.7,48,110910.18,0.51,42779.5,-2.15,3.52,1.47,2.34,0.21,48.9,Loader
Mining,East,Medium,16.6,48,104390.23,0.89,75273.46,-6.52,36.98,0.96,1.14,0.17,47.9,Crane
Energy,East,Small,14.3,12,129920.52,0.6,47384.01,-7.43,-28.16,0.17,1.71,0.36,58,Excavator
Energy,East,Large,1,48,81026.67,0.86,51980.1,-29.8,-27.53,0.67,0.74,0.25,59.6,Excavator
Energy,West,Small,14.6,60,105598.44,0.51,27452.79,11.45,-20.98,2.14,0.96,0.47,24.5,Crane
Mining,South,Small,13.5,36,106822.64,0.9,65213.56,-15.1,0.93,0.18,1.78,0.28,38.5,Crane
Mining,North,Small,11.3,48,68594.26,0.51,28451.52,27.88,0.86,1.99,1.46,0.17,42.5,Bulldozer
Energy,East,Large,1.3,48,138309.49,0.62,43358.07,-4.31,-13.83,0.16,0.95,0.48,49.6,Crane
Construction,South,Medium,6.1,60,86629.7,0.63,37321.51,19.64,-7.51,0.74,1.5,0.31,54.3,Loader
Transportation,East,Medium,4.2,24,130522.65,0.58,49925.96,-27.14,-13.49,0.98,1.94,0.31,29.7,Loader
Transportation,East,Small,1,24,103447.38,0.74,55121.42,10.97,-12.3,2.27,0.78,0.25,34.6,Loader
Transportation,North,Large,10,60,149007.54,0.64,53253.42,14.83,-19.21,1.22,2.37,0.43,53.7,Loader
Mining,North,Small,6,24,68758.63,1,51014.37,19.55,-19.01,1.07,1.79,0.22,23.3,Loader
Mining,North,Large,23.1,12,67457.24,0.79,45565.31,-22.92,-50.02,0.64,1.8,0.11,29.2,Bulldozer
Construction,East,Medium,9.2,60,72829.13,0.78,39134.7,-10.54,-5.59,1.51,1.5,0.3,44.4,Excavator
Transportation,East,Small,16.5,36,103998.87,0.61,32031.9,8.65,-48.89,0.89,2.37,0.47,60.5,Crane
Transportation,East,Medium,2.2,36,146244.05,0.7,78438.87,2.23,18.76,1.06,1.98,0.21,23.2,Excavator
Energy,North,Medium,7.3,36,147792.81,0.56,63817.06,4.4,-14,0.98,1.32,0.21,40.6,Crane
Mining,West,Small,10.5,48,30700.94,0.88,15770.1,-5.4,-2.99,1.63,1.88,0.4,45.5,Bulldozer
Transportation,South,Large,5.5,60,107491.21,0.67,42088.24,23.26,-9.33,1.66,1.13,0.41,54.7,Bulldozer
Construction,West,Medium,7.9,60,20000,0.88,12452.77,39.13,-6.1,0.67,1.36,0.27,44.5,Drill
Construction,East,Small,8.9,24,123850.95,0.69,45561.85,1.56,31.58,0.82,2.23,0.43,21.6,Drill
Transportation,East,Small,8.8,60,133545.08,0.99,105677.91,6.8,-33.79,0.76,1.69,0.17,27.1,Bulldozer
Mining,West,Medium,19.3,60,98792.67,0.59,42486.93,0.84,-40.58,1.31,1.83,0.25,53.7,Bulldozer
Construction,East,Medium,11.9,24,102519.45,0.5,36685.13,19.26,2.98,1.74,2.08,0.26,44.4,Crane
Energy,South,Medium,12.4,60,102209.17,0.8,61466.96,12.44,-12.4,1.32,1.77,0.23,28.7,Bulldozer
Construction,East,Medium,12.7,60,76466.74,0.98,59109.95,-16,8.99,0.1,1.09,0.19,44.9,Excavator
